,Movie Name,Year_of_Release,Runtime,Rating,Meta Score,Vote
338,,1995,127,8.6,65        ,"739,334"
339,,1991,118,8.6,85        ,"778,836"
340,,1977,121,8.6,90        ,"1,216,358"
341,,1962,133,8.6,85        ,"1,213,608"
342,,1954,207,8.6,98        ,"749,214"
343,,1946,130,8.6,89        ,"1,366,953"
344,,2020,160,8.5,90        ,"1,049,717"
345,,2018,170,8.5,^^^^^,"1,007,995"
346,,2014,106,8.5,88        ,"1,056,737"
347,,2011,112,8.5,57        ,"961,836"
348,,2006,130,8.5,66        ,"1,011,276"
349,,2006,151,8.5,85        ,"236,616"
350,,2002,150,8.5,85        ,"243,202"
351,,2000,155,8.5,67        ,"1,082,486"
352,,1998,119,8.5,62        ,"307,859"
353,,1995,106,8.5,77        ,"615,815"
354,,1994,110,8.5,64        ,"452,292"
355,,1994,88,8.5,88        ,"530,631"
356,,1991,137,8.5,75        ,"222,738"
357,,1988,155,8.5,80        ,"171,178"
358,,1988,89,8.5,94        ,"69,130"
359,,1985,116,8.5,87        ,"1,000,576"
360,,1968,165,8.5,80        ,"35,600"
361,,1960,109,8.5,97        ,"30,779"
362,,1954,112,8.5,100        ,"209,215"
363,,1942,102,8.5,100        ,"163,610"
364,,1936,87,8.5,96        ,"400,673"
365,,1931,87,8.5,99        ,"876,753"
366,,2018,126,8.4,75        ,"878,957"
367,,2019,122,8.4,59        ,"406,391"
368,,2017,125,8.4,^^^^^,"1,389,829"
369,,2017,147,8.4,^^^^^,"1,545,898"
370,,2016,106,8.4,79        ,"355,461"
371,,2016,161,8.4,^^^^^,"174,723"
372,,2018,117,8.4,87        ,"1,019,697"
373,,2019,181,8.4,78        ,"365,483"
374,,2018,149,8.4,68        ,"527,192"
375,,I 2017,105,8.4,81        ,"1,145,395"
376,,2012,165,8.4,81        ,"352,758"
377,,2012,164,8.4,78        ,"318,345"
378,,2009,170,8.4,67        ,"897,711"
379,,2007,165,8.4,^^^^^,"917,856"
380,,2008,98,8.4,95        ,"617,452"
381,,2006,137,8.4,89        ,"803,354"
382,,2003,101,8.4,77        ,"36,586"
383,,2000,113,8.4,80        ,"457,460"
384,,1997,134,8.4,76        ,"111,940"
385,,1984,229,8.4,^^^^^,"182,067"
386,,1981,115,8.4,85        ,"205,381"
387,,1980,146,8.4,66        ,"206,931"
388,,1979,147,8.4,94        ,"37,481"
389,,1979,117,8.4,89        ,"461,622"
390,,1963,143,8.4,^^^^^,"31,647"
391,,1964,95,8.4,97        ,"35,544"
392,,1957,116,8.4,^^^^^,"292,608"
393,,1957,88,8.4,90        ,"225,217"
394,,1950,110,8.4,^^^^^,"155,473"
395,,1940,125,8.4,^^^^^,"34,613"
396,,2019,143,8.3,^^^^^,"60,703"
397,,2019,119,8.3,78        ,"80,974"
398,,2018,104,8.3,^^^^^,"1,298,422"
399,,2013,160,8.3,^^^^^,"927,754"
400,,2012,115,8.3,77        ,"713,779"
401,,2011,123,8.3,95        ,"794,716"
402,,2010,131,8.3,80        ,"780,336"
403,,2020,130,8.3,^^^^^,"1,085,186"
404,,I 2020,97,8.3,88        ,"2,395,848"
405,,2005,112,8.3,^^^^^,"1,659,562"
406,,2009,153,8.3,69        ,"79,410"
407,,2004,108,8.3,89        ,"2,395,848"
408,,2001,122,8.3,69        ,"1,659,562"
409,,2000,104,8.3,55        ,"79,410"
410,,2000,102,8.3,68        ,"2,357,459"
411,,1999,122,8.3,84        ,"1,153,618"
412,,1994,142,9.3,80        ,"706,532"
413,,1972,175,9.2,100        ,"1,673,368"
414,,2020,153,9.1,^^^^^,"1,863,472"
415,,1994,142,9.3,80        ,"1,236,925"
416,,1972,175,9.2,100        ,"2,115,428"
417,,2020,153,9.1,^^^^^,"1,893,334"
418,,2008,152,9.0,84        ,"1,694,116"
419,,1974,202,9.0,90        ,"1,852,598"
420,,1957,96,9.0,96        ,"700,680"
421,,2003,201,8.9,94        ,"1,513,229"
422,,1994,154,8.9,94        ,"1,711,520"
423,,1993,195,8.9,94        ,"1,043,165"
424,,2010,148,8.8,74        ,"1,179,423"
425,,1999,139,8.8,66        ,"933,717"
426,,2001,178,8.8,92        ,"609,936"
427,,1994,142,8.8,82        ,"1,560,048"
428,,1966,161,8.8,90        ,"709,564"
429,,2002,179,8.7,87        ,"671,211"
430,,1999,136,8.7,73        ,"1,263,144"
431,,1990,146,8.7,90        ,"1,174,186"
432,,1980,124,8.7,82        ,"637,078"
433,,1975,133,8.7,84        ,"1,477,922"
434,,2019,132,8.6,96        ,"1,299,218"
435,,2014,169,8.6,74        ,"1,251,509"
436,,2002,130,8.6,79        ,"45,082"
